IMPULSE_ATR_MIN,RANGE_ATR_MAX,DEV_MAX,BREAKOUT_ATR_MIN,DEV_MIN_TDP,EXTREME_Q,TDP_RANGE_ATR_MAX,trades_total,winrate,tdp_top_trades,tdp_top_wr,tdp_bot_trades,tdp_bot_wr,tdp_trades,tdp_wr,tts_trades,tts_wr
1.0,6.0,3,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,6.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,6.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.0,10.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,2,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,3,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,3.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,2,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,3,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,6.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,2,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,2,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,3,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
1.5,10.0,3,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,1,0.2,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,1,0.3,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
2.0,3.0,1,0.5,4,0.2,14.0,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259,545,0.09357798165137615,0,0.0
